Camp_Name,enum_name,enum_nub,coordinates_latitude,coordinates_longitude,governorate,district,site_typology,area,sub_site,site_name,month,camp_mngt,camp_mngmt_office,camp_mngmt_male_staff,camp_mngmt_female_staff,camp_committee,population_tracking,presence_of_camp_mobile_team,camp_mobile_team_agency,camp_distribution_announcement,plots/occupied_plots,plots/no_of_shelters,has_concrete_slabs,shelter_types,shelter_types/modm_tents,shelter_types/modm_tents_repairs,shelter_types/unhcr_tents,shelter_types/unhcr_tents_repairs,shelter_types/afad_tents,shelter_types/afad_tents_repairs,shelter_types/other_tents,shelter_types/other_tents_repairs,shelter_types/caravans,shelter_types/RHU,shelter_types/improvised_makeshift_shelter,shelter_types/semi-permanent structure(plastic sheeting_corrugated_iron),total_hh/total_families,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,ind_ages/total_population,ind_ages/vulnerabilities_groups./F_HoH,ind_ages/vulnerabilities_groups./Child_HoH,ind_ages/vulnerabilities_groups./ppl_physical_dis,ind_ages/vulnerabilities_groups./ppl_mental_dis,ind_ages/vulnerabilities_groups./ppl_chronic_disease,ind_ages/vulnerabilities_groups./elderly_at_risk,nfi_items/blankets,nfi_items/mattress,nfi_items/kitchen_nfi,nfi_items/fuel,nfi_items/oven,nfi_items/water_container,nfi_items/kerosene cooking/ fuel distribution on the camp ?,Is the camp subjected to Flood Risk?,Number of fire incidents during this year,What is the main source of electricity in the camp?,Water: Number of  litters/person/day,What is the primary method of waste disposal by families?,Number of functional latrines in the camp,Number of functional shower/bathing facilities in the camp,lightning_around_latrines,Illness_in_site,PHC,SHC,children_under_5_vaccinatedfor_poliomeasles,access_to_food,food assistance frequency,Are there movement restrictions in and out of the camp?,Are there areas where women and girls do 0t feel safe?,families_missing_documentation,distance to accessible counrts and civil registration office (kms),functioning_primary_school,functioning_secondary_school,Approximately how many school-aged children have access to formal school?,What are the primary challenges to accessing formal education (select up to 3)?,informal_education_activities_available,access_to_informal_education,Nearest market available(kms),Items not available at market,primary_livelihood_sources,how_many_earn_income_last_30_days,young_people(under_18)_work_in_last_30_days,PROTECTION,GBV,CHILD PROTECTION,EDUCATION,SHELTER,WATER,SANITATION,WASTE MANAGEMENT,NFI,PHC,SHC,MHPSS,NUTRITION,FOOD,SOCIAL COHESION,LIVELIHOOD,COMMUNICATION
Al-Mateen (AAF19),Taha Mounir Khammas,,33.14240046,43.84045849,Anbar,Falluja,Camp,,IQ0102-0019-019,IQ0102-0019-019,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Access Database based,1,IOM,NGO Camp Management Team Word of Mouth,171,8,1,RHU (Refugee Housing Unit),,,,,,,,,,150,,,95,17,18,73,52,131,132,6,6,,70,0,6,8,10,6,1,1,0,0,0,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,0,Electricity grid,24,Communal garbage bin,54,18,0,0ne,1,0,0,1,Between 2 and 3 months,1,0ne,7,5,1,1,70,Long distance to travel to school,1,40,,Everything needed is available,Casual unskilled labour Social security Humanitarian aid,50,25,DRC IRC ,IRC IMC other (specify) UIMS,other (specify) DRC SSORD,DoE NRC,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Marcy carps, ,Dary , ,IMC , ,WFP , ,IOM ,
Al-Nabi Younis,Ibtihal Abdul Hameed,,44.6620307,33.36345528,Baghdad,Mada'in,Camp,,IQ0707-0001,IQ0707-0001,May,Yes,Yes,3,1,Camp Management Committee Women committee Youth committee Distribution Committee Maintenance Committee WASH Committee,Excel based,1,IOM,Camp Management Team Loudspeakers Camp Committees,110,25,1,Caravans,,,,,,,,,110,,0,0,64,15,11,40,61,52,59,3,6,,3,0,0,0,1,0,0,1,0,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,30,Municipal collection,110,0,1,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.)",1,1,35,1,Between 2 and 3 months,0,0ne,0,30,1,1,0,"0t e0ugh teachers Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,0,,Basic food items Water Basic medicine,Self-employment Public security official Humanitarian aid,65,12,IOM IRC other (specify) Al- Mourtaqa - NGO,IOM IRC other (specify) Baghdad Women Association,IOM ,Government / Local Authorities,IOM ,Sabaa Sanabul ,Sabaa Sanabul ,IOM Sabaa Sanabul ,MOMD ,Emirates Red Crescent Government / Local Authorities , , , ,MOMD , , ,
Al-Nasir Camp (AAF01),Abdulmohaimen ,,33.14860756,43.84095325,Anbar,Falluja,Camp,,IQ0102-0019-001,IQ0102-0019-001,May,Yes,Yes,3,0,Women committee Maintenance Committee Youth committee,Excel based,1,IOM,NGO Camp Management Team Local Authorities,215,7,1,MoMD Tents,134,30,,,,,,,,,,,58,15,22,83,50,123,112,2,6,,8,1,4,1,16,7,0,1,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,48,24,0,"Hepatitis A/E Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,Healthcare facility School,15,4,1,1,50,Long distance to travel to school 0t e0ugh schools or classrooms 0t e0ugh teachers,1,20,,"Tools, hardware and materials",Self-employment Unskilled agricultural labour Pension from government,20,4,DRC IRC ,UIMS ,DRC other (specify) CRS,UNICEF NRC Government / Local Authorities,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , , , ,WFP , , ,
Al-Qasir 4 - RHU Camp B,Albab Farqad Yousif,,33.25203,43.582048,Anbar,Ramadi,Camp,,IQ0102-0033-006,IQ0102-0033-006,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,192,189,1,RHU (Refugee Housing Unit),,,,,,,,,,192,,,139,64,74,137,140,76,107,9,17,,28,0,1,0,29,25,1,1,1,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Generators privately owned,55,Communal garbage bin,73,73,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,6,1,Every month,0,Market WASH facilities (latrines/ bathing),30,21,1,1,100,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Lack of documentation",1,5,,"Tools, hardware and materials Kerosene",Unskilled wage labour Casual unskilled labour Humanitarian aid,25,20,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF other (specify) SSORD,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF ,Sabaa Sanabul UNICEF other (specify) Mercy Corps,UNICEF other (specify) Mercy Corps,"MOMD UNHCR other (specify) DRC , Mercy Corps , Mercy Hands",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Al-Qasir RHU Camp A,Hayder Hussein Turki,,33.251021,43.580526,Anbar,Ramadi,Camp,,IQ0102-0033-005,IQ0102-0033-005,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,208,202,1,RHU (Refugee Housing Unit),,,,,,,,,,208,,,162,123,116,136,124,96,97,19,15,,36,0,4,0,8,34,0,0,1,1,1,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",1,Electricity grid Generators privately owned,60,Communal garbage bin,78,78,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases",1,0,3,1,Every month,0,Market WASH facilities (latrines/ bathing),30,28,1,1,180,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Lack of documentation",1,6,,"Tools, hardware and materials Kerosene",Unskilled wage labour Humanitarian aid Selling assets,23,14,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF ,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy hands,DRC Sabaa Sanabul UNICEF ,PUI Sabaa Sanabul UNICEF ,PUI UNICEF ,"MOMD UNHCR other (specify) Mercy hand, Mercy Corps, DRC",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Al-Sa'ada camp (AAF08),Saddam,,33.14546208,43.84942207,Anbar,Falluja,Camp,,IQ0102-0019-008,IQ0102-0019-008,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Local Authorities Camp Committees,240,20,1,RHU (Refugee Housing Unit),,,,,,,,,,217,,,65,14,17,61,70,109,108,8,5,,28,2,2,1,6,0,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",3,Electricity grid,25,Communal garbage bin,60,60,0,"Skin diseases (scabies, contagious rashes, etc.) Hepatitis A/E",1,0,0,1,Every month,1,0ne,1,4,1,1,60,0t e0ugh teachers 0t e0ugh learning materials Long distance to travel to school,1,0,,"Tools, hardware and materials",Casual unskilled labour Pension from government Social security,5,7,DRC IRC Terre des Hommes ,UIMS ,DRC ,DoE NRC UPP,YAO ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary , ,UIMS , ,WFP , , ,
Al-Salam Camp (AAF02),Abdulmohaimen ,,33.14845062,43.84328802,Anbar,Falluja,Camp,,IQ0102-0019-002,IQ0102-0019-002,May,Yes,Yes,3,0,Youth committee Women committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO,225,12,1,MoMD Tents,80,8,,,,,,,,,,,54,12,6,41,32,70,57,8,3,,12,0,7,2,8,2,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,90,60,0,"Skin diseases (scabies, contagious rashes, etc.) Hepatitis A/E",1,0,0,1,Every month,1,0ne,0,4,1,1,20,"0t e0ugh teachers Long distance to travel to school Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,20,,"Tools, hardware and materials",Unskilled wage labour Pension from government,10,5,DRC IRC ,UIMS ,DRC other (specify) CRS,Government / Local Authorities NRC UNICEF,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , , , ,WFP , , ,
Al-Simood / Ssumud (AAF24),Abdulmohaimen,,33.13922236,43.84486275,Anbar,Falluja,Camp,,IQ0102-0019-023,IQ0102-0019-023,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Word of Mouth,214,45,Partially,MoMD Tents Caravans,35,14,,,,,,,92,,0,0,28,0,0,4,3,9,12,3,1,,5,0,2,1,3,0,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,36,24,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,4,4,1,1,23,"0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,7,,"Basic medicine Tools, hardware and materials",Humanitarian aid Self-employment Unskilled agricultural labour,10,3,DRC IRC IMC ,UIMS ,DRC other (specify) SSORD,UNICEF NRC DoE,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , ,IMC , ,WFP , , ,
Al-Smuod Camp - HTC,Hayder Hussein turki,,33.24962,43.589164,Anbar,Ramadi,Camp,,IQ0102-0033-015,IQ0102-0033-015,May,Yes,Yes,2,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,66,55,1,UNHCR Tents,,,55,5,,,,,,,,,39,14,15,22,36,14,32,6,7,,7,0,3,0,3,4,0,0,1,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",2,Electricity grid Generators privately owned,50,Communal garbage bin,12,6,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases",1,0,2,1,Every month,0,Market,9,25,1,1,45,Lack of documentation,1,8,,"Tools, hardware and materials Kerosene",Unskilled wage labour Pension from government Humanitarian aid,12,7,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF ,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF ,PUI UNICEF ,PUI UNICEF ,"MOMD UNHCR other (specify) Mercy Hands, Mercy Corps, DRC",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Alta'aki (AAF30),Saddam,,33.14232625,43.85452472,Anbar,Falluja,Camp,,IQ0102-0019-030,IQ0102-0019-030,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Word of Mouth Camp Committees,252,13,1,MoMD Tents,225,45,,,,,,,,,,,127,7,0,20,17,55,67,7,15,,60,0,2,0,15,2,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,68,68,0,0ne,1,0,0,1,Every month,1,0ne,1,4,1,1,75,0t e0ugh teachers 0t e0ugh learning materials Long distance to travel to school,1,30,,"Tools, hardware and materials",Unskilled agricultural labour Pension from government Social security,15,7,DRC IRC Terre des Hommes ,UIMS ,"DRC other (specify) CRS, SSORD",DoE NRC UPP,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Marcy corps,other (specify) ?? ????,Dary , ,UIMS ,World Vision ,WFP , , ,
Al-Tahadi (AAF26),Abdulmohaimen,,33.13821426,43.84970658,Anbar,Falluja,Camp,,IQ0102-0019-026,IQ0102-0019-026,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team Word of Mouth NGO,207,13,Partially,MoMD Tents Caravans,117,15,,,,,,,59,,0,0,53,4,2,6,12,22,38,2,3,,30,1,1,5,2,2,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,60,24,0,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,0,4,1,1,50,"0t e0ugh teachers Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,23,,"Tools, hardware and materials",Self-employment Humanitarian aid,15,8,DRC IMC IRC Terre des Hommes ,UIMS ,"DRC other (specify) SSORD, CRS",UNICEF NRC DoE,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary , ,IMC , ,WFP , , ,
Al-Tahrir (Al Khanjar) (AAF18),Taha Mounir Khammas,,33.1469243,43.84041709,Anbar,Falluja,Camp,,IQ0102-0019-018,IQ0102-0019-018,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Word of Mouth Camp Management Team,363,15,1,MoMD Tents,210,70,,,,,,,,,,,101,15,13,53,58,87,100,9,13,,5,0,3,4,2,2,1,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,27,Communal garbage bin,70,24,0,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of diarrhoea",1,0,0,1,Between 2 and 3 months,1,0ne,0,5,1,1,85,Long distance to travel to school,1,25,,Everything needed is available,Casual unskilled labour Unskilled wage labour Social security,20,15,IRC DRC Terre des Hommes ,IRC other (specify) UIMS,DRC Dary ,NRC DoE,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Marcy carps, ,Dary , ,IMC , ,WFP , ,IOM ,IOM
Al-Wand 1,khayal khalid abdalla,,34.326001,45.45994,Diyala,Khanaqin,Camp,,IQ1004-0003,IQ1004-0003,May,Yes,Yes,10,2,Camp Management Committee Women committee Youth committee,Excel based,0,,Community leaders Loudspeakers,18,18,0,Caravans,,,,,,,,,811,,0,0,639,170,208,535,462,356,382,39,25,,86,0,41,14,416,39,0,0,0,0,0,1,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",3,Electricity grid,75,Municipal collection,793,793,1,0ne,1,1,0,1,Every month,0,0ne,20,4,1,1,1000,0t e0ugh schools or classrooms 0t e0ugh teachers Physical/ logistical constraints,1,1000,,"Tools, hardware and materials",Casual unskilled labour Public sector/ civil servant Pension from government,250,100,YAO ,CDO YAO , ,,YAO ,Arche-0va ,Arche-0va ,Local authorities ,YAO , , , , ,WFP ,YAO , ,YAO
Al-Wand 2,Khayal khalid abdalla,,34.326143,45.458834,Diyala,Khanaqin,Camp,,IQ1004-0004,IQ1004-0004,May,Yes,Yes,11,4,Camp Management Committee Youth committee,Excel based,0,,Camp Management Team Loudspeakers,50,0,1,UNHCR Tents,,,512,205,,,,,,,,,226,61,61,206,166,143,120,16,26,,41,0,17,14,31,39,0,0,0,0,0,1,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,75,Municipal collection,500,500,1,0ne,0,0,0,1,Every month,0,0ne,20,6,1,1,250,0t e0ugh teachers Physical/ logistical constraints,1,250,,"Tools, hardware and materials",Casual unskilled labour Public security official Pension from government,100,50,YAO ,CDO YAO , ,,YAO ,Arche-0va ,Arche-0va ,Local authorities ,YAO , , , , , ,YAO ,YAO ,
Amal Manshood 2 (AAF12),Taha Mounir Khammas,,33.14509394,43.84390866,Anbar,Falluja,Camp,,IQ0102-0019-012,IQ0102-0019-012,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Access Database based,1,IOM,NGO Camp Management Team Word of Mouth,243,7,1,MoMD Tents,75,65,,,,,,,,,,,39,4,1,24,42,45,67,5,5,,8,1,10,3,4,4,1,1,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",2,Electricity grid,25,Communal garbage bin,22,61,0,Numerous cases of diarrhoea Numerous cases of fever,1,0,0,1,Between 2 and 3 months,1,0ne,0,5,1,1,60,0t e0ugh teachers Physical/ logistical constraints,0,10,,Everything needed is available,Casual unskilled labour Public security official Social security,10,0,IRC DRC ,IMC other (specify) Terre des Hommes UIMS,DRC other (specify) SSORD,DoE NRC,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Marcy Carps, ,Dary , ,IMC , ,World Vision , ,IOM ,
Amriyat Al-Fallujah semi-perminant / UNHCR Halls (Al Qa'at) (AAF07),Abdulmohaimen ,,33.14666029,43.8504406,Anbar,Falluja,Camp,,IQ0102-0019-007,IQ0102-0019-007,May,Yes,Yes,2,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Local Authorities,103,4,1,"Constructed Structure (ex. Housing units constructed by blocks, fully upgraded)",,,,,,,,,,,,,38,10,6,44,47,67,74,4,11,,15,0,6,2,11,1,1,0,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",1,Electricity grid,20,Communal garbage bin,20,20,1,"Skin diseases (scabies, contagious rashes, etc.) Hepatitis A/E",1,0,0,1,Every month,1,0ne,0,4,1,1,50,0t e0ugh teachers Long distance to travel to school,1,7,,"Basic medicine Tools, hardware and materials",Pension from government Casual unskilled labour,5,0,DRC IRC Terre des Hommes ,UIMS ,DRC other (specify) SSORD,UNICEF Government / Local Authorities NRC, ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , , , ,WFP , , ,
Arbat IDP,Haydar Rahman Hamasaeed,,35.374914,45.608599,Sulaymaniyah,Sulaymaniya,Camp,,IQ0510-0001,IQ0510-0001,May,Yes,Yes,6,7,0 Committees,Access Database based,0,,Camp Management Team NGO Facebook,1984,0,Partially,"Constructed Structure (ex. Housing units constructed by blocks, fully upgraded)",,,,,,,,,,,,,2239,1066,968,1242,1191,1153,1291,97,123,,52,0,19,115,420,27,0,0,1,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",3,Electricity grid Centralized generators,97,Municipal collection,1984,1984,1,Physical disabilities Mental disabilities Hepatitis A/E,1,0,0,1,Every month,0,0ne,20,35,1,1,6,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,1,200,1,Everything needed is available,Self-employment Loans Humanitarian aid,976,124,CDO DHRD STEP UNICEF UPP ,CDO DHRD UNHCR ,KSC STEP UPP ,Government / Local Authorities UNICEF,QANDIL UNHCR ,Government / Local Authorities Local authorities UNHCR ,Government / Local Authorities QANDIL UNHCR ,Government / Local Authorities ,UNHCR YAO ,Government / Local Authorities UNHCR , ,Government / Local Authorities UPP ,other (specify) Primary health care in the camp,WFP World Vision , ,UPP ,
As Salamyiah 1,Revan Shamoon Danial,,36.15029696,43.3336443,Ninewa,Hamdaniya,Camp,,IQ1503-0027-001,IQ1503-0027-001,May,Yes,Yes,11,3,Camp Management Committee Women committee Youth committee WASH Committee,ASSIST,0,,Camp Management Team Community leaders Camp Committees,1792,1759,0,MoMD Tents,1792,115,,,,,,,,,,,1354,649,698,1579,1565,767,1008,69,142,,465,5,115,40,307,144,0,1,1,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",3,Centralized generators,40,Municipal collection,474,456,1,"Skin diseases (scabies, contagious rashes, etc.)",1,1,0,1,Every month,0,0ne,270,10,1,1,6815,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,0,7803,,Everything needed is available,Casual unskilled labour Loans Humanitarian aid,63,0,Samaritan Purse TRIANGLE UIMS ,Intersos TRIANGLE UIMS ,Samaritan Purse TRIANGLE ,DoE,MOMD ,ACTED ,ACTED ,ACTED ,ACTED ,HEIVE UIMS , , ,Samaritan Purse ,MOMD WFP , ,other (specify) UIMS,
As Salamyiah 2,Farhan Jasim,,36.153532,43.333843,Ninewa,Hamdaniya,Camp,,IQ1503-0027-002,IQ1503-0027-002,May,Yes,Yes,17,6,Women committee Youth committee Maintenance Committee Other Committee,ASSIST,0,,Camp Management Team Mobile Phones Camp Committees,4748,239,Partially,UNHCR Tents,,,4509,1700,,,,,,,,,3650,1665,1680,3778,3635,2198,2665,232,409,,1084,12,157,70,610,59,0,1,0,1,0,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,8,Centralized generators,35,Communal garbage bin,608,380,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,0,0ne,1310,12,1,1,4341,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,1,1579,,Everything needed is available,Smallholder agriculture Unskilled agricultural labour Casual unskilled labour,0,0,Intersos IRC TRIANGLE WEO WRO ,WEO WRO ,IRC TRIANGLE ,UNICEF,other (specify) ACTED,other (specify) PEKAWA,other (specify) PEKAWA,other (specify) PEKAWA,ACTED UNHCR ,PUI , ,PUI ,Samaritan Purse ,MOMD WFP ,other (specify) ACTED committees, ACTED,ACTED
As Salamyiah Nimrud,Rafal hussein,,33,44,Ninewa,Hamdaniya,Camp,,IQ1503-0036,IQ1503-0036,May,Yes,Yes,13,9,Women committee Youth committee Other Committee,Excel based,0,,Camp Management Team NGO Community leaders,1089,405,0,MoMD Tents,758,70,,,,,,,,,,,577,217,237,560,572,164,354,37,53,,315,0,64,20,130,0,0,0,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",3,Centralized generators,55,Communal garbage bin,48,0,0,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever Numerous cases of respiratory diseases Numerous cases of pregnancy related diseases Numerous trauma-related injuries Physical disabilities Mental disabilities Soil transmitted helminths (intestinal worms)",1,0,40,1,Between 2 and 3 months,1,WASH facilities (latrines/ bathing),220,180,0,0,842,0t e0ugh schools or classrooms 0t e0ugh teachers Long distance to travel to school,1,710,,Basic medicine,Unskilled wage labour Humanitarian aid Selling assets,54,0,Intersos TRIANGLE UIMS ,UIMS ,TRIANGLE ,Intersos  0n formal education,other (specify) ACTED,other (specify) Solidarites international,other (specify) Solidarites INTERNATIONAL,other (specify) Solidarites International,ACTED ,Dary PUI ,PUI , ,other (specify) Dary,MOMD WFP ,other (specify) ACTED through the committees,other (specify) Cash for work (ACTED and partners),
Ashti IDP,Twana Othman,,35.419377,45.600495,Sulaymaniyah,Sulaymaniya,Camp,,IQ0510-0002,IQ0510-0002,May,Yes,Yes,3,1,0 Committees,Excel based,0,,Camp Management Team Facebook Word of Mouth,2630,2265,1,MoMD Tents UNHCR Tents,1565,0,700,0,,,,,,,,,2283,1142,1049,2136,2048,1432,1545,94,156,,2023,73,15,6,200,92,1,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",5,Electricity grid,64,Municipal collection,2630,2630,1,0ne,1,0,0,1,Between 2 and 3 months,1,0ne,0,7,1,1,3654,"0t e0ugh schools or classrooms 0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,70,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Hygiene items Basic medicine Kerosene",Casual unskilled labour Humanitarian aid Savings,750,500,UNHCR ,DHRD ,other (specify) DOLSA,Ministry of Education,QANDIL UNHCR ,UNICEF other (specify) SJCCC,UNICEF other (specify) SJCCC,other (specify) Arbat Municipality,UNHCR YAO ,Emergency WHO , ,Zhyan other (specify) Wchan, ,WFP World Vision , , ,
Baghdad (AAF15),Saddam,,33.14110644,43.8525246,Anbar,Falluja,Camp,,IQ0102-0019-015,IQ0102-0019-015,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Word of Mouth Camp Committees,226,0,1,MoMD Tents UNHCR Tents,50,10,12,0,,,,,,,,,29,10,5,16,27,42,49,0,2,,12,1,9,4,8,1,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,22,Communal garbage bin,78,78,0,0ne,1,1,0,1,Every month,1,0ne,2,4,1,1,10,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,1,10,,"Tools, hardware and materials",Unskilled wage labour Pension from government Social security,5,2,DRC IRC ,UIMS ,"DRC other (specify) SSORD,CRS",NRC UPP,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary IMC , , ,World Vision ,World Vision , , ,
Baharka,Bahrka camp,,36.241243,43.988979,Erbil,Erbil,Camp,,IQ1102-0001,IQ1102-0001,May,Yes,Yes,14,9,0 Committees,Excel based,0,,Camp Management Team,1185,0,1,Caravans UNHCR Tents,,,138,4,,,,,603,,0,0,934,310,343,1020,993,594,650,46,97,,185,0,73,29,218,17,0,0,0,0,0,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,3,Electricity grid,80,Municipal collection,1185,1185,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,0,0ne,130,5,1,1,373,0ne,0,0,3,Everything needed is available,Self-employment Low skilled service industry Humanitarian aid,30,50,Al Massalla PAO Qandil UNHCR UNICEF ,Al Massalla ,PAO ,UNICEF,KURDS UNHCR ,"BCF Government / Local Authorities other (specify) QADAR , NEVER",Government / Local Authorities ,Government / Local Authorities ,UNHCR ,BCF , , ,Zhyan ,BCF MOMD World Vision , ,BCF ,
